run,env,epoch,fold,in_development,in_heldout,in_heldout_dataset,in_heldout_method,in_calibration_fit,sr_development,sr_heldout,sr_heldout_method,method,vis,veracity,influence,sobriety,m_emp,probe_r2,straightness,d_tol_grade,sigma_roll,tr_sigma_z,sr_heldout_dataset,in_cube_reference
visreg_pusht_lambd4p5_bs256_lr1e-4_seed46_184425,pusht,5,heldout,0,0,0,0,1,96.0,nan,nan,,0.24076826879017516,0.5136389734190403,1.0,0.46875,137.45007689891906,0.8837364729358708,0.4477466524389553,4.512375544511162,3.2411448954589,181.35693204280045,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed46_184425,pusht,6,heldout,0,0,0,0,1,96.0,nan,nan,,0.35161412981132006,0.6081974137276888,1.0,0.578125,160.42244341338653,0.8905533708832557,0.45495592693383646,4.567417820542101,2.666784688489088,182.42823646894078,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed46_184425,pusht,7,heldout,0,0,0,0,1,96.0,nan,nan,,0.4263694256218425,0.64970579142376,1.0,0.65625,172.37815975051453,0.8940878285043777,0.4580790673395492,4.587812935348197,2.455953274654844,183.4507596009674,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed46_184425,pusht,8,heldout,0,1,0,0,1,100.0,94.0,nan,,0.46168067960239256,0.7035134165369792,1.0,0.65625,184.4507900596265,0.8963125185373663,0.4597682818069782,4.660140292675318,2.2318734725618525,183.3299144811179,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed46_184425,pusht,9,heldout,0,0,0,0,1,94.0,nan,nan,,0.47177406036767944,0.7021753456635229,1.0,0.671875,185.33086005583868,0.8939861552869472,0.45954739603270156,4.650001697518783,2.2331949519829304,183.4438964104292,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed46_184425,pusht,10,heldout,0,1,0,0,1,94.0,94.66666666666667,nan,,0.5134984401099117,0.6846645868132156,1.0,0.75,181.24648285966927,0.8941760215165041,0.4598848730184859,4.65630692910886,2.318670957405295,183.1761900430764,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,1,dev,1,0,0,0,1,62.0,nan,nan,,0.016942673540741277,0.25898139044221363,0.5981296321583649,0.109375,49.04662983698592,0.7171967147975082,0.4060399877283379,4.327639049159269,6.547015048219474,179.01111407830382,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,2,dev,1,0,0,0,1,84.0,nan,nan,,0.1111605742551062,0.3744356185435156,1.0,0.296875,86.00420379085969,0.7562154413404979,0.421707961779846,4.6166618137454964,4.7303852706449305,186.31096512332877,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,3,dev,1,0,0,0,1,86.0,nan,nan,,0.1928430533493948,0.4571094597911581,1.0,0.421875,108.96343001989459,0.8071370571495274,0.42562240973566906,4.773282153292406,3.922507755452312,183.65930859023587,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,4,dev,1,0,0,0,1,90.0,nan,nan,,0.18390220408385502,0.45268234851410466,1.0,0.40625,111.59410445499158,0.8426360754041831,0.433748307205338,4.733969276763643,3.9332767430172675,182.35629883732827,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,5,dev,1,0,0,0,1,92.0,nan,nan,,0.30555266040926016,0.5014197504151962,1.0,0.609375,129.61862254902692,0.8700799141311033,0.4369917919756393,4.764776929967,3.5204659866771957,181.393012054775,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,6,dev,1,0,0,0,1,96.0,nan,nan,,0.29480446449314024,0.571741991744272,1.0,0.515625,148.61565890735918,0.8844183022133403,0.44299746200478113,4.715708155648294,2.976426716954229,183.14897859551718,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,7,dev,1,0,0,0,1,94.0,nan,nan,,0.43222315930079813,0.6286882317102518,1.0,0.6875,161.41258440395004,0.8910499261798851,0.44590404743813544,4.778625827411036,2.6725529633584,183.47765072810887,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,8,dev,1,0,0,0,1,96.0,nan,nan,,0.42872374351500814,0.685957989624013,1.0,0.625,176.86528635171376,0.8951729060491641,0.4475118818470859,4.770931204005233,2.3694084200245045,182.76357909175556,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,9,dev,1,0,0,0,1,93.0,nan,nan,,0.5245400700827644,0.6993867601103525,1.0,0.75,179.7893457546856,0.8944966148105319,0.44730370590847107,4.76836988371782,2.303295028051236,183.2759068945171,nan,0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,pusht,10,dev,1,0,0,0,1,94.0,nan,nan,,0.5259123827754012,0.7161360105877804,1.0,0.734375,183.80962910260487,0.8949064343134744,0.447668234389238,4.77762494725041,2.229036165679337,183.01857598156033,nan,0
