run,env,task,d,epoch,eval_seed,planner,num_eval,success_rate,group,train_seed,source
ext_intact_full_reacher_s0,dmc,dmc,25,0,42,cem,50,78.0,,,pool:heldout-method
ext_intact_full_reacher_s0,dmc,dmc,25,0,5501,cem,50,68.0,,,pool:heldout-method
ext_intact_full_reacher_s0,dmc,dmc,25,0,60601,cem,50,78.0,,,pool:heldout-method
ext_intact_full_reacher_s0,dmc,dmc,25,0,65537,cem,50,88.0,,,pool:heldout-method
ext_intact_full_reacher_s0,dmc,dmc,25,0,8191,cem,50,88.0,,,pool:heldout-method
ext_intact_full_reacher_s0,dmc,dmc,25,0,90210,cem,50,80.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,1025,cem,50,80.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,2027,cem,50,74.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,3014,cem,50,84.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,42,cem,50,82.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,5501,cem,50,76.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,60601,cem,50,86.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,65537,cem,50,84.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,8191,cem,50,88.0,,,pool:heldout-method
ext_intact_full_reacher_s3072,dmc,dmc,25,0,90210,cem,50,88.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,1025,cem,50,82.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,2027,cem,50,82.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,3014,cem,50,86.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,42,cem,50,72.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,5501,cem,50,66.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,60601,cem,50,84.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,65537,cem,50,84.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,8191,cem,50,84.0,,,pool:heldout-method
ext_intact_full_reacher_s42,dmc,dmc,25,0,90210,cem,50,82.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,1025,cem,50,76.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,2027,cem,50,86.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,3014,cem,50,80.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,42,cem,50,76.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,5501,cem,50,82.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,60601,cem,50,76.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,65537,cem,50,80.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,8191,cem,50,86.0,,,pool:heldout-method
ext_qantara_reacher_s11,dmc,dmc,25,0,90210,cem,50,86.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,1025,cem,50,78.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,2027,cem,50,80.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,3014,cem,50,90.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,42,cem,50,72.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,5501,cem,50,76.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,60601,cem,50,78.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,65537,cem,50,76.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,8191,cem,50,86.0,,,pool:heldout-method
ext_qantara_reacher_s22,dmc,dmc,25,0,90210,cem,50,90.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,1025,cem,50,80.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,2027,cem,50,78.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,3014,cem,50,88.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,42,cem,50,72.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,5501,cem,50,80.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,60601,cem,50,76.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,65537,cem,50,78.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,8191,cem,50,88.0,,,pool:heldout-method
ext_qantara_reacher_s33,dmc,dmc,25,0,90210,cem,50,84.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,1025,cem,50,84.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,2027,cem,50,80.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,3014,cem,50,80.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,42,cem,50,82.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,5501,cem,50,76.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,60601,cem,50,82.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,65537,cem,50,78.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,8191,cem,50,88.0,,,pool:heldout-method
ext_rcaux_reacher,dmc,dmc,25,0,90210,cem,50,88.0,,,pool:heldout-method
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,1,42,cem,50,57.99999999999999,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,2,42,cem,50,62.0,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,3,42,cem,50,62.0,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,4,42,cem,50,70.0,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,5,42,cem,50,74.0,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,6,42,cem,50,72.0,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,7,42,cem,50,70.0,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,8,42,cem,50,74.0,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,9,42,cem,50,72.0,clsrecon,base,ground_truth
sigreg_clsrecon_dmc_lambd0p09_115446,dmc,dmc,25,10,42,cem,50,74.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,1,42,cem,50,72.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,2,42,cem,50,64.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,3,42,cem,50,62.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,4,42,cem,50,78.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,5,42,cem,50,74.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,6,42,cem,50,74.0,clsrecon,base,ground_truth
